video_id,video_url,video_title,channel_title,duration,duration_minutes,category,subcategory,secondary_category,secondary_subcategory,fitness_level,secondary_fitness_level,tertiary_fitness_level,primary_equipment,secondary_equipment,tertiary_equipment,primary_spirit,secondary_spirit,primary_vibe,secondary_vibe,reviewable,review_comment,primary_technique_difficulty,secondary_technique_difficulty,tertiary_technique_difficulty,primary_effort_difficulty,secondary_effort_difficulty,tertiary_effort_difficulty,full_analysis_json
8723,https://members.hydrow.com/workout_videos/id_yLMPGQRPrj29Nnw,Steady Cool-Down,,344,,Cardio,Mat,,,Beginner,Intermediate,Advanced,Rower,,,Soothing & Restorative,Flow & Rhythm,The Reboot Workout,The Zen Flow,,,,,,,,,"{""video_id"": 8723, ""video_url"": ""https://members.hydrow.com/workout_videos/id_yLMPGQRPrj29Nnw"", ""video_title"": ""Steady Cool-Down"", ""duration"": 344, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 1.0}], ""requiredEquipmentExplanation"": ""The workout metadata explicitly categorizes this session under 'row,' indicating that it is based on rowing. Additionally, the image shows a person rowing on water, aligning with this category. Therefore, the use of a Rower is essential for replicating this activity in a standard setting. The confidence in this requirement is very high due to the direct association with rowing in both the metadata and visual content.""}, ""spirit"": {""spirits"": [{""name"": ""Soothing & Restorative"", ""score"": 0.9}, {""name"": ""Flow & Rhythm"", ""score"": 0.7}, {""name"": ""Outdoor & Adventure"", ""score"": 0.6}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""The workout titled 'Steady Cool-Down' and described as a heart rate reduction session along the Charles River strongly suggests a 'Soothing & Restorative' spirit, with a very high confidence score of 0.9. The mention of 'cool down' and a steady format aligns with relaxation and recovery goals. The environment, rowing along the river, adds a scenic and serene element conducive to relaxing exercises. \n\nA 'Flow & Rhythm' spirit is considered due to the \u2018max rhythm: 24\u2019 indicator, suggesting a smooth, continuous movement with moderate confidence at 0.7. The playlist includes soft pop music which generally supports fluidity in workout sessions.\n\nFinally, the outdoor setting by the Charles River provides an 'Outdoor & Adventure' component with a score of 0.6, as workouts in natural environments often evoke an exploratory and invigorating feeling. The use of the outdoor photo supports this classification. \n\nOther spirits like 'High-Energy & Intense' or 'Structured & Disciplined' are excluded due to the emphasis on cooling down and a lack of intense or methodical training indicators.""}, ""vibe"": {""vibes"": [{""name"": ""The Reboot Workout"", ""score"": 0.9}, {""name"": ""The Zen Flow"", ""score"": 0.7}, {""name"": ""The Nature Flow"", ""score"": 0.6}], ""vibesConfidence"": 0.9, ""vibesExplanation"": ""The title 'Steady Cool-Down' and description emphasize 'steadily decreasing your heart rate,' which aligns with 'The Reboot Workout.' The cool down focus and shorter duration suggest a gentle, refreshing vibe suitable for post-workout relaxation, justifying a high score of 0.9.\n\nThe setting along the Charles River adds a mindful, calming element characteristic of 'The Zen Flow.' The emphasis on a steady, unhurried rhythm enhances this vibe, warranting a score of 0.7.\n\nThe outdoor setting by the river also hints at 'The Nature Flow,' capturing an outdoor, breath-centered experience. The playlist's pop music contributes to an enjoyable, uplifting atmosphere, aligning with this vibe at a moderate confidence level, scoring 0.6.""}}"
8417,https://members.hydrow.com/workout_videos/id_PVx3WJAnKY2ZeoK,Upper Body Strength with Bands,,647,,Strength,Body weight,Cardio,Mat,Beginner,Intermediate,Advanced,Other,Other,,Structured & Disciplined,Flow & Rhythm,The Masterclass Workout,The Disciplined Grind,,,,,,,,,"{""video_id"": 8417, ""video_url"": ""https://members.hydrow.com/workout_videos/id_PVx3WJAnKY2ZeoK"", ""video_title"": ""Upper Body Strength with Bands"", ""duration"": 647, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Resistance bands"", ""confidence"": 0.9}, {""equipment"": ""Mat"", ""confidence"": 0.8}], ""requiredEquipmentExplanation"": ""The workout explicitly mentions the use of a 'long resistance band', giving a very high confidence (0.9) that resistance bands are required. Additionally, the category is 'On The Mat, standard, on-the-mat', suggesting exercises are performed on a mat, which justifies a high confidence (0.8) that a mat is needed. The image also shows a mat and a person using resistance bands, supporting the analysis. The absence of other equipment details in the metadata confirms these are the only necessary items.""}, ""spirit"": {""spirits"": [{""name"": ""Structured & Disciplined"", ""score"": 0.7}, {""name"": ""Flow & Rhythm"", ""score"": 0.6}, {""name"": ""Outdoor & Adventure"", ""score"": 0.5}], ""spiritsConfidence"": 0.75, ""spiritsExplanation"": ""**Structured & Disciplined (Score: 0.7)**: The workout focuses on strengthening the upper body using resistance bands, indicating a structured approach to muscle building. The use of equipment (`long resistance band`) and categorization as a `strength` workout further supports a disciplined format. Despite the casual music genre, the aim of the session is methodical and purposeful.\n\n**Flow & Rhythm (Score: 0.6)**: The accompanying music, including pop hits, suggests a rhythmic component to the workout. This, combined with resistance band exercises, can lead to a continuous flow of movement, encouraging a mind-body connection and coordination.\n\n**Outdoor & Adventure (Score: 0.5)**: The image shows the workout being conducted on a wooden platform near water with a cityscape, adding an outdoor and exploratory element. Although it is categorized as `on-the-mat`, the setting contributes to the outdoor spirit, albeit with moderate confidence.\n\nOther potential spirits such as High-Energy & Intense or Soothing & Restorative are less applicable due to the strength focus and lack of emphasis on relaxation or high-intensity elements.""}, ""vibe"": {""vibes"": [{""name"": ""The Masterclass Workout"", ""score"": 0.75}, {""name"": ""The Disciplined Grind"", ""score"": 0.65}], ""vibesConfidence"": 0.7, ""vibesExplanation"": ""This workout, 'Upper Body Strength with Bands,' focuses on skill-building and technique, given it involves resistance bands to strengthen the upper body. The music playlist with pop and global hits adds an energetic yet focused atmosphere, supporting the technical nature of 'The Masterclass Workout' vibe, earning it a score of 0.75. It's moderate in duration and consistent with structured workouts. \n\nAdditionally, the vibe aligns with 'The Disciplined Grind' due to the consistent, on-the-mat format and strength focus, suggesting a no-frills, results-oriented approach, which earns a score of 0.65. The absence of an instructor might imply self-discipline and self-guided execution, further supporting this vibe choice. The upbeat music prevents it from being too meditative, excluding other vibes like 'The Meditative Grind.' The total body focus seen here avoids broader, more comprehensive vibes such as 'The Warrior Workout.'""}}"
8419,https://members.hydrow.com/workout_videos/id_n5oGLd9bZnQVAYa,Instructional: Drive Through Your Feet,,347,,Cardio,Indoor rowing,,,Beginner,Intermediate,Advanced,Rower,,,Structured & Disciplined,Outdoor & Adventure,The Masterclass Workout,The Meditative Grind,,,,,,,,,"{""video_id"": 8419, ""video_url"": ""https://members.hydrow.com/workout_videos/id_n5oGLd9bZnQVAYa"", ""video_title"": ""Instructional: Drive Through Your Feet"", ""duration"": 347, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 0.9}], ""requiredEquipmentExplanation"": ""The workout is categorized as 'row', which indicates a focus on rowing activities. Furthermore, the description mentions a 'legs-only drill', which is typically performed on a Rower. The workout title 'Drive Through Your Feet' also suggests actions commonly associated with rowing, such as the drive phase where foot placement is crucial. Given the image showing a person on a Rower, there's a very high confidence (0.9) that a Rower is required for this workout.""}, ""spirit"": {""spirits"": [{""name"": ""Structured & Disciplined"", ""score"": 0.7}, {""name"": ""Outdoor & Adventure"", ""score"": 0.6}], ""spiritsConfidence"": 0.7, ""spiritsExplanation"": ""The workout titled 'Instructional: Drive Through Your Feet' focuses on 'proper foot placement and form with Nick while completing a legs-only drill,' indicating a clear emphasis on technique and precision, which aligns well with the 'Structured & Disciplined' spirit. The score for this spirit is set at 0.7 due to the methodical and instructional nature of the session, as highlighted by the word 'Instructional' and the description. \n\nIn addition, the image shows an outdoor setting by the water, which supports the inclusion of the 'Outdoor & Adventure' spirit. Despite the short duration and focus on warm-up, the environment contributes to a sense of exploration and engagement with nature, scoring 0.6 for this spirit. \n\nThe music genre and playlist don't point strongly towards any other spirits, and the warm-up classification suggests a mild intensity. Therefore, other potential spirits such as 'High-Energy & Intense' or 'Flow & Rhythm' have been excluded due to a lack of aligning characteristics. Overall confidence in the classification is moderate, at 0.7.""}, ""vibe"": {""vibes"": [{""name"": ""The Masterclass Workout"", ""score"": 0.75}, {""name"": ""The Meditative Grind"", ""score"": 0.6}], ""vibesConfidence"": 0.7, ""vibesExplanation"": ""The workout 'Instructional: Drive Through Your Feet' is clearly focused on technique and form, suggesting a 'Masterclass Workout' vibe. The description emphasizes 'proper foot placement and form' with an instructional approach, aligning well with the characteristics of a technique-driven and skill-building workout. The inclusion of a 'legs-only drill' further supports this, as isolating specific techniques often indicates a focus on skill development. Given this context, a score of 0.75 is assigned for a strong match.\n\nThe addition of a 'Meditative Grind' vibe is considered due to its categorization as a warm-up and the repetitive nature of the legs-only drill on a Rower. This suggests a potential for participants to zone in and let repetition take over. However, since the focus is more instructional than meditative, the score for this vibe is lower, at 0.6.\n\nThe use of Pop and Global Hits music genres supports creating a somewhat engaging atmosphere, yet doesn't strongly influence the vibe towards a more rhythmic or high-energy classification like a 'Nightclub Workout' or 'The Rhythmic Powerhouse.'""}}"
7884,https://members.hydrow.com/workout_videos/id_Bw6Nk2W7o72M3yW,Whole Body Stretch,,951,,Flexibility,Stretching,,,Beginner,Intermediate,Advanced,Other,,,Soothing & Restorative,Outdoor & Adventure,The Reboot Workout,The Zen Flow,,,,,,,,,"{""video_id"": 7884, ""video_url"": ""https://members.hydrow.com/workout_videos/id_Bw6Nk2W7o72M3yW"", ""video_title"": ""Whole Body Stretch"", ""duration"": 951, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Mat"", ""confidence"": 0.9}], ""requiredEquipmentExplanation"": ""The workout is titled 'Whole Body Stretch,' specifically focusing on stretching exercises. It falls under the 'On The Mat' category, which strongly implies the use of a mat. The description mentions stretching hips, hamstrings, back, and glutes, activities typically performed on a mat to provide comfort and stability. The image shows participants on mats, reinforcing the necessity of this equipment.\n\nThe confidence level is set at 0.9 due to the explicit category mention and visual confirmation in the image. Although no other equipment is mentioned, the context strongly suggests that a mat is essential for a comfortable stretching routine.""}, ""spirit"": {""spirits"": [{""name"": ""Soothing & Restorative"", ""score"": 0.85}, {""name"": ""Outdoor & Adventure"", ""score"": 0.8}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""The workout titled \""Whole Body Stretch\"" involves stretching major muscle groups and is categorized under \""On The Mat,\"" emphasizing a soothing and restorative spirit focused on relaxation and flexibility. The description mentions enjoying the scenic views of Norway, strongly indicating an Outdoor & Adventure spirit. The setting in nature, as evidenced by the image, and the relaxing, stretching-focused nature of the session, justify these classifications. The playlist features calming dance-pop tracks, supporting a relaxed atmosphere suitable for stretching. Thus, the soothing, restorative, and outdoor elements align well, leading to high confidence in these spirits.""}, ""vibe"": {""vibes"": [{""name"": ""The Reboot Workout"", ""score"": 0.8}, {""name"": ""The Zen Flow"", ""score"": 0.7}, {""name"": ""The Nature Flow"", ""score"": 0.6}], ""vibesConfidence"": 0.85, ""vibesExplanation"": ""The workout video 'Whole Body Stretch' clearly aligns with a \""The Reboot Workout\"" vibe due to its focus on stretching multiple body parts. The mention of 'scenery of Norway' suggests a calm and refreshing ambiance, supporting a score of 0.8. Additionally, the description of a variety of stretches indicates a holistic approach to bodily refreshment. \n\n\""The Zen Flow\"" vibe also fits well, scored at 0.7. The gentle nature of stretching exercises and the outdoor setting contribute to a grounding and intentional practice, focused on breath and relaxation.\n\nThe \""Nature Flow\"" is considered due to the scenic environment of Norway, adding a natural, rhythm-infused element to the stretch routine. The playlist includes artists like Kygo, whose music might support an expressive, melodic experience, thus a score of 0.6. \n\nThe absence of intense or competitive indicators excludes higher intensity vibes like \""The Warrior Workout\"" or \""The Competitor.\"" The overall evidence for the selected vibes is solid, with slight ambiguity due to the varied music genre.""}}"
8238,https://members.hydrow.com/workout_videos/id_Wora82eZZkdLq9z,Technique Cool-Down,,344,,Cardio,Indoor rowing,,,Beginner,Intermediate,Advanced,Rower,,,Outdoor & Adventure,Soothing & Restorative,The Reboot Workout,The Zen Flow,,,,,,,,,"{""video_id"": 8238, ""video_url"": ""https://members.hydrow.com/workout_videos/id_Wora82eZZkdLq9z"", ""video_title"": ""Technique Cool-Down"", ""duration"": 344, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 0.9}], ""requiredEquipmentExplanation"": ""The workout is classified under the 'row' category, indicating a rowing-related exercise. Though the image depicts outdoor rowing on water, the metadata consistently refers to a rowing context, suggesting the indoor equivalent for workout purposes. The metadata categories 'Cool Down' and 'Technique' further imply that a Rower is used to focus on rowing rhythm and form. Given these associations, a Rower is necessary to replicate the experience and achieve the workout objectives indoors, thus a high confidence score of 0.9 is assigned to the equipment.""}, ""spirit"": {""spirits"": [{""name"": ""Outdoor & Adventure"", ""score"": 0.9}, {""name"": ""Soothing & Restorative"", ""score"": 0.8}, {""name"": ""Structured & Disciplined"", ""score"": 0.6}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""The workout 'Technique Cool-Down' is classified primarily as 'Outdoor & Adventure' with a high score of 0.9. This is strongly indicated by the rowing setting on a river, as evident from the image provided, which fits well with the nature-based exploration aspect of this spirit. Additionally, a 'Soothing & Restorative' spirit is applicable, scoring 0.8, due to the workout's focus on cooling down and the technique emphasis, which suggests a gentle and recovery-oriented approach. This is supported by the workout type and description, specifically mentioning 'cooling down.' The 'Structured & Disciplined' spirit is also relevant, with a modest score of 0.6, because of the technique-focused description which implies precision, even during a cool-down. The titles and description do not suggest high intensity or fast-paced activity, thus excluding 'High-Energy & Intense' and 'Sport & Agility.' Limited rhythmic elements exclude 'Flow & Rhythm.'""}, ""vibe"": {""vibes"": [{""name"": ""The Reboot Workout"", ""score"": 0.8}, {""name"": ""The Zen Flow"", ""score"": 0.6}, {""name"": ""The Masterclass Workout"", ""score"": 0.5}], ""vibesConfidence"": 0.9, ""vibesExplanation"": ""The workout titled 'Technique Cool-Down' emphasizes a focus on technique while cooling down, clearly situating it as a recovery-oriented session. The steady format and low max rhythm (22) support a calming and restorative vibe. This aligns well with 'The Reboot Workout' due to its focus on body refreshment and low stress, meriting a score of 0.8.\n\nThe presence of Bruce Springsteen's softer, live rock music, although typically more energetic, is here likely more subdued, complementing a gentle cool-down flow, lending itself slightly to 'The Zen Flow' vibe with a score of 0.6.\n\nGiven the workout's emphasis on technique, 'The Masterclass Workout' is relevant with a focus on skill building and mindful improvement, though secondary to the relaxation aspect, meriting a score of 0.5.\n\nOverall, the metadata strongly indicates a cooldown session designed for recuperation and technique refinement rather than intense activity.""}}"
8288,https://members.hydrow.com/workout_videos/id_DjzXwQaVYbJANxP,Rock HIIT Row,,1281,,Cardio,HIIT,Cardio,Indoor rowing,Advanced,,,Rower,,,High-Energy & Intense,Outdoor & Adventure,The Warrior Workout,The Nightclub Workout,,,,,,,,,"{""video_id"": 8288, ""video_url"": ""https://members.hydrow.com/workout_videos/id_DjzXwQaVYbJANxP"", ""video_title"": ""Rock HIIT Row"", ""duration"": 1281, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 0.9}], ""requiredEquipmentExplanation"": ""The workout 'Rock HIIT Row' strongly implies the use of a Rower, fulfilling the requirement for this type of exercise. In the metadata, the category includes 'row' and the workout title contains 'Row', both indicating rowing activity. Additionally, the high-intensity interval training (HIIT) aspect commonly involves Rowers to effectively deliver cardiovascular and resistance training. Although the image shows outdoor rowing, the workout is likely intended for indoor Rowers given the context of the metadata focusing on HIIT. Therefore, a confidence score of 0.9 is justified for the Rower being essential equipment for this workout.""}, ""spirit"": {""spirits"": [{""name"": ""High-Energy & Intense"", ""score"": 0.9}, {""name"": ""Outdoor & Adventure"", ""score"": 0.7}, {""name"": ""Flow & Rhythm"", ""score"": 0.5}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""The workout is strongly characterized by the 'High-Energy & Intense' spirit due to its description of 'high-intensity intervals' and a workout intensity level of '3 out of 3'. Additionally, the use of rock music, known for its energizing effect, supports this categorization, earning it a high score of 0.9.\n\nThe 'Outdoor & Adventure' spirit is also present due to the setting, as shown in the image with the rowing taking place on a river, aligning with the adventurous, nature-based elements. This is given a score of 0.7.\n\nThe 'Flow & Rhythm' spirit is moderately represented through high-intensity rock music that emphasizes rhythm and continuity, supporting a mind-body connection during the workout, though this is less prominent and is scored at 0.5.\n\nOther spirits like 'Structured & Disciplined', 'Soothing & Restorative', and 'Sport & Agility' were not considered significant due to the lack of specific technical focus, relaxation elements, or sport-specific skills in the metadata.""}, ""vibe"": {""vibes"": [{""name"": ""The Warrior Workout"", ""score"": 0.9}, {""name"": ""The Nightclub Workout"", ""score"": 0.7}, {""name"": ""The Rhythmic Powerhouse"", ""score"": 0.6}], ""vibesConfidence"": 0.85, ""vibesExplanation"": ""The workout is classified mainly as \""The Warrior Workout\"" due to its high-intensity interval structure and maximum intensity rating of 3 out of 3, which suggests a demanding and sweat-dripping experience matching the warrior vibe. The accompanying rock music playlist with songs like 'Zombie' by The Cranberries and 'Paralyzer' by Finger Eleven aligns well with a strong, driving energy found in Warrior Workouts. \\n\n\""The Nightclub Workout\"" is a secondary vibe because of the music-centric description, emphasizing 'jamming out' to rock, giving it an energetic and euphoric dance party feel, aligned with high-energy rock mid-intensity mixes. \\n\n\""The Rhythmic Powerhouse\"" is considered to capture the beat-driven, music-infused aspect from the rock playlist, supporting the rhythmic and immersive experience. The confidence level is high given the strong alignment of the workout's characteristics with these vibes.""}}"
8429,https://members.hydrow.com/workout_videos/id_b5aEGQ8Zka2LrpW,Racing Mindset Row,,1284,,Cardio,Indoor rowing,Cardio,HIIT,Advanced,,,Rower,,,Outdoor & Adventure,High-Energy & Intense,The Meditative Grind,The Competitor,,,,,,,,,"{""video_id"": 8429, ""video_url"": ""https://members.hydrow.com/workout_videos/id_b5aEGQ8Zka2LrpW"", ""video_title"": ""Racing Mindset Row"", ""duration"": 1284, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 0.9}], ""requiredEquipmentExplanation"": ""The workout is titled \""Racing Mindset Row,\"" and the description highlights rowing down the Charles River. The category includes \""row,\"" indicating a rowing workout. While the image shows outdoor rowing, for indoor workout purposes, a Rower would simulate this experience effectively. The metadata doesn't specify any other equipment, and the inclusion of 'HIIT' suggests high-intensity rowing. Therefore, there is very high confidence that a Rower is required for this workout.""}, ""spirit"": {""spirits"": [{""name"": ""High-Energy & Intense"", ""score"": 0.8}, {""name"": ""Outdoor & Adventure"", ""score"": 0.9}], ""spiritsConfidence"": 0.9, ""spiritsExplanation"": ""The workout titled 'Racing Mindset Row' with a description emphasizing 'ignite your legs and lungs' suggests a demanding and vigorous session, aligning closely with the 'High-Energy & Intense' spirit. The use of 'bolt down the Charles River' further reinforces the high energy and competitive nature typically seen in intense workouts, supporting a strong match with a score of 0.8.\n\nThe phrase 'bolt down the Charles River', combined with the image showing rowing in a river setting, indicates an outdoor location, aligning well with the 'Outdoor & Adventure' spirit. This is especially relevant given the river setting and natural environment, justifying a high confidence score of 0.9 for this spirit.\n\nThe format being HIIT and the intensity level rated '3 out of 3' further correlate with high energy, reinforcing the choice of 'High-Energy & Intense'. The combination of these elements clearly presents a scenario that fits both the 'Outdoor & Adventure' and 'High-Energy & Intense' spirits, with the former being slightly more dominant due to the outdoor setting.""}, ""vibe"": {""vibes"": [{""name"": ""The Meditative Grind"", ""score"": 0.7}, {""name"": ""The Competitor"", ""score"": 0.6}, {""name"": ""The Adrenaline Rush"", ""score"": 0.5}], ""vibesConfidence"": 0.75, ""vibesExplanation"": ""The workout titled 'Racing Mindset Row' suggests a focus on consistent, repetitive effort, aligning with 'The Meditative Grind' vibe. The use of 'ignite your legs and lungs' and the location-specific aspect ('bolt down the Charles River') implies an immersive experience, where rowing plays a significant role in maintaining pace and rhythm. This aligns with the immersive, endurance-driven nature of 'The Meditative Grind.' The high intensity level (3 out of 3), coupled with the HIIT format, indicates 'The Competitor' vibe, reflecting the competitive, high-energy nature of racing and the drive to perform at one\u2019s best, potentially in a leaderboard-driven context. Additionally, the playlist's rock and global hits music, with energetic and intense aspects, contributes to elements of 'The Adrenaline Rush,' providing an extra boost to the workout intensity. Scores reflect the strong presence of meditative endurance with competitive and adrenaline-pumping elements also prevalent, though slightly less dominant.""}}"
8423,https://members.hydrow.com/workout_videos/id_yLMPGQRP7q29Nnw,All in One Row,,1876,,Cardio,Indoor rowing,Cardio,HIIT,Intermediate,,,Rower,,,Outdoor & Adventure,High-Energy & Intense,The Meditative Grind,The Endorphin Wave,,,,,,,,,"{""video_id"": 8423, ""video_url"": ""https://members.hydrow.com/workout_videos/id_yLMPGQRP7q29Nnw"", ""video_title"": ""All in One Row"", ""duration"": 1876, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 0.9}], ""requiredEquipmentExplanation"": ""The workout is titled 'All in One Row' and is categorized under 'row', indicating that rowing is a central component of the workout. The reference to 'Intervals' suggests a structured rowing workout. These factors strongly imply the need for a Rower, assigning it a very high confidence score of 0.9. The image provided also supports this as it depicts individuals rowing, although the actual equipment (indoor Rower versus outdoor rowing) is not specified in the metadata. Nonetheless, given the context, a Rower is essential for this workout.""}, ""spirit"": {""spirits"": [{""name"": ""High-Energy & Intense"", ""score"": 0.75}, {""name"": ""Outdoor & Adventure"", ""score"": 0.8}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""The workout's title \""All in One Row\"" and description indicate a balanced session beginning with a warm-up, followed by a sweat-inducing main segment, and finishing with a cool-down. This structured format, alongside the 'Sweat' category and 'Sweat intensity' description, suggests a \""High-Energy & Intense\"" spirit (score: 0.75). The interval training format and max rhythm of 28 indicate a moderately challenging level, contributing to this classification. \n\nThe image of participants rowing outdoors on a river corroborates the \""Outdoor & Adventure\"" spirit (score: 0.8), as it aligns with both nature-based and exploration elements. The use of popular 90's and global hits adds to an engaging atmosphere, supporting the outdoor adventurous spirit. The classification confidence is high due to strong supporting evidence from both the metadata and visual content.""}, ""vibe"": {""vibes"": [{""name"": ""The Meditative Grind"", ""score"": 0.8}, {""name"": ""The Endorphin Wave"", ""score"": 0.6}], ""vibesConfidence"": 0.85, ""vibesExplanation"": ""The workout 'All in One Row' is primarily rhythmic and endurance-focused, indicated by the format description of 'Intervals' and the duration being over 30 minutes. This aligns well with 'The Meditative Grind' vibe, emphasizing zoning in and repetitive motion, typical in rowing activities. The playlist includes songs that are upbeat and energizing from the 90's and global hits, which match the vibe 'The Endorphin Wave.' The description mentions spending 20 minutes at a 'Sweat intensity,' which points to elevated energy over an extended period, reinforcing this vibe. The inconsistency in explicit lyrics and unspecified music genres creates minor ambiguity, but overall, these vibes fit strongly with the workout's structure and intended experience.""}}"
8420,https://members.hydrow.com/workout_videos/id_an7PbJZkwp2RevX,Time Under Tension Row,,674,,Cardio,Indoor rowing,Cardio,HIIT,Intermediate,,,Rower,,,Outdoor & Adventure,High-Energy & Intense,The Meditative Grind,The Endorphin Wave,,,,,,,,,"{""video_id"": 8420, ""video_url"": ""https://members.hydrow.com/workout_videos/id_an7PbJZkwp2RevX"", ""video_title"": ""Time Under Tension Row"", ""duration"": 674, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 1.0}], ""requiredEquipmentExplanation"": ""The workout is categorized under 'row', and the title 'Time Under Tension Row' explicitly suggests the focus on rowing. The description further supports this with mention of building cardio and endurance through intervals, activities often associated with rowing workouts. Although the image shows outdoor rowing, for an indoor workout, a Rower would be necessary to replicate this experience. Therefore, a Rower is required with very high confidence.""}, ""spirit"": {""spirits"": [{""name"": ""High-Energy & Intense"", ""score"": 0.7}, {""name"": ""Outdoor & Adventure"", ""score"": 1.0}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""The workout is primarily classified as 'Outdoor & Adventure' with a score of 1.0 due to its setting along the Charles River, as indicated by the description and the image showing rowing outdoors. The natural environment plays a significant role in defining this spirit category, making it strongly aligned with outdoor adventure.\n\nAdditionally, 'High-Energy & Intense' is also a relevant spirit with a score of 0.7. The use of intervals and the category 'Sweat' suggest a focus on pushing physical limits and cardiovascular effort, common in high-energy workouts. The playlist featuring energetic songs like 'Heading Home' by Gryffin adds to this vibe.\n\nThe emphasis on cardio and endurance through intervals underlines a dynamic and intense nature, but the outdoor setting is the most defining characteristic, supporting the 'Outdoor & Adventure' classification as primary.""}, ""vibe"": {""vibes"": [{""name"": ""The Meditative Grind"", ""score"": 0.65}, {""name"": ""The Endorphin Wave"", ""score"": 0.55}, {""name"": ""The Groove Session"", ""score"": 0.4}], ""vibesConfidence"": 0.75, ""vibesExplanation"": ""The workout 'Time Under Tension Row' primarily aligns with 'The Meditative Grind.' The interval format focused on building cardio and endurance suggests a repetitive, zoning-in experience typical of endurance work. This is reinforced by the strong connection to rowing along the Charles River, hinting at a steady, methodical rhythm. \n\nAdditional insights suggest a mild 'Endorphin Wave' vibe due to the music selections from genres like Indie Alternative and Global Hits, which tend to create an uplifting and steady energy build. \n\nFinally, there is a slight association with 'The Groove Session' vibe, due to the mix of music genres that could add an expressive, rhythmic feel, albeit less evident given the workout's primary endurance focus.\n\nThe absence of highly intense or explosive elements, alongside a moderate intensity level, excludes options like 'The Warrior Workout' or 'The Firestarter.' The confidence level is high due to explicit indicators in the metadata.""}}"
8366,https://members.hydrow.com/workout_videos/id_BEWzndrZyPdaK7R,January Race: Week 2 of 4,,678,,Cardio,Indoor rowing,Cardio,HIIT,Advanced,,,Rower,,,High-Energy & Intense,Flow & Rhythm,The Competitor,The Endorphin Wave,,,,,,,,,"{""video_id"": 8366, ""video_url"": ""https://members.hydrow.com/workout_videos/id_BEWzndrZyPdaK7R"", ""video_title"": ""January Race: Week 2 of 4"", ""duration"": 678, ""equipment"": {""requiredEquipment"": [{""equipment"": ""Rower"", ""confidence"": 1.0}], ""requiredEquipmentExplanation"": ""The metadata specifies that the workout type is 'row' and the category includes 'row', indicating a rowing-focused session. The image further supports this by showing someone rowing. Therefore, a Rower is required with a very high confidence score of 1.0, as it is essential for performing the workout effectively.""}, ""spirit"": {""spirits"": [{""name"": ""High-Energy & Intense"", ""score"": 0.85}, {""name"": ""Flow & Rhythm"", ""score"": 0.7}, {""name"": ""Outdoor & Adventure"", ""score"": 0.65}], ""spiritsConfidence"": 0.85, ""spiritsExplanation"": ""This workout is classified under multiple spirits with varying emphasis. The 'High-Energy & Intense' spirit scores the highest at 0.85, driven by phrases like 'race off at high rhythms' and 'maximum meters,' indicating a vigorous and cardiovascularly demanding session. The intense pacing is further reinforced by the workout's max rhythm of 34 and its intensity level of 3 out of 3.\n\nThe 'Flow & Rhythm' spirit scores 0.7 due to the mention of 'high rhythms' and the music-driven nature as indicated by the playlist featuring upbeat and high-energy songs like 'Blister In The Sun' and 'Mony Mony,' creating a rhythmic flow.\n\nLastly, the 'Outdoor & Adventure' spirit scores 0.65 as the image data reveals the workout is conducted on a river, enhancing the exploration and nature-based aspect of the exercise. The combination of outdoor setting and vigorous rowing supports a sense of adventure.""}, ""vibe"": {""vibes"": [{""name"": ""The Competitor"", ""score"": 0.9}, {""name"": ""The Endorphin Wave"", ""score"": 0.6}, {""name"": ""The Warrior Workout"", ""score"": 0.5}], ""vibesConfidence"": 0.85, ""vibesExplanation"": ""The 'January Race: Week 2 of 4' workout strongly suggests 'The Competitor' vibe due to keywords such as 'race' and 'accumulate maximum meters.' The sense of competition and racing aligns well with gamified, high-energy efforts. The use of upbeat, iconic pop hits like 'Blister In The Sun' and 'Tainted Love' further promote a competitive, energetic atmosphere that motivates participants to strive for leaderboard-style coordination, justifying a score of 0.9 for this vibe.\n\n'Endorphin Wave' is also a relevant vibe, receiving a score of 0.6. The combination of high energy pop music and sustained intense effort over the 11-minute duration suggests a steady elevation of feel-good activity, typical of an endorphin-releasing workout.\n\nFinally, 'The Warrior Workout' receives a moderate score of 0.5. The description's reference to 'high rhythms' and 'power' aligns with heart-pounding efforts seen in warrior-like activities, although the competitive angle is more dominant in this workout. The short duration and high intensity further align with typical warrior workouts.""}}"
