video_id,video_url,video_title,channel_title,duration,duration_minutes,category,subcategory,secondary_category,secondary_subcategory,fitness_level,secondary_fitness_level,tertiary_fitness_level,primary_equipment,secondary_equipment,tertiary_equipment,primary_spirit,secondary_spirit,primary_vibe,secondary_vibe,reviewable,review_comment,primary_technique_difficulty,secondary_technique_difficulty,tertiary_technique_difficulty,primary_effort_difficulty,secondary_effort_difficulty,tertiary_effort_difficulty,full_analysis_json
8723,https://members.hydrow.com/workout_videos/id_yLMPGQRPrj29Nnw,Steady Cool-Down,,344,,Cardio,Mat,,,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,"{""video_id"": 8723, ""video_url"": ""https://members.hydrow.com/workout_videos/id_yLMPGQRPrj29Nnw"", ""video_title"": ""Steady Cool-Down"", ""duration"": 344, ""category"": {""categories"": [{""name"": ""Mat"", ""score"": 0.4}, {""name"": ""Indoor rowing"", ""score"": 0.3}, {""name"": ""Stretching"", ""score"": 0.3}], ""categoriesConfidence"": 0.6, ""categoriesExplanation"": ""The title 'Steady Cool-Down' and description 'Steadily decrease your heart rate with Laine along the Charles River' suggest a workout aimed at reducing intensity after a higher activity, indicating a cool-down phase. The mention of a 'Format: Steady' and 'Max rhythm: 24' hints at a controlled pace, often associated with either stationary exercises or light movement.\n\nThe 'Category: Cool Down, standard, row' suggests a rowing context, though it is not explicitly stated if it's indoor rowing. Given the platform's focus on rowing and the keyword 'row,' there is a moderate possibility (0.3) that this is an Indoor rowing session at a reduced intensity.\n\nHowever, the absence of specific rowing machine equipment details, the lack of high-intensity descriptors, and the short duration (5:44) also align with Mat exercises typically used for cool-down phases, warranting a moderate score (0.4) for Mat.\n\nThe classification of 'Stretching' (score 0.3) is considered given the cool-down context aimed at relaxing muscles after exertion. The music genre and playlist suggest a calming and low-intensity atmosphere suitable for such activities. Therefore, a mixed classification reflects the uncertainty, balancing Mat, Indoor rowing, and Stretching.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}], ""techniqueDifficultyConfidence"": 1.0, ""techniqueDifficultyExplanation"": ""Since the workout is marked as suitable for all fitness levels (Beginner, Intermediate, Advanced), the technique difficulty is considered adaptable. Movements can be scaled in complexity, and users are expected to modify techniques based on their capability. Therefore, all difficulty levels from Beginner to Expert are assigned equal suitability with a score of 1.0."", ""effortDifficulty"": [{""level"": ""Light"", ""score"": 0.9}, {""level"": ""Moderate"", ""score"": 0.4}], ""effortDifficultyConfidence"": 0.85, ""effortDifficultyExplanation"": ""The workout is short in duration (less than 6 minutes) and is explicitly designed as a \""cool down,\"" indicating a very low-intensity effort with the primary goal of gradually reducing heart rate. This typically involves light rowing at a slow pace, signaled by the steady rhythm with a max at 24 strokes per minute. While there might be a slight cardio engagement, the primary activity is rest-oriented, warranting a Light effort difficulty with some consideration for Moderate based on individual fitness variance."", ""requiredFitnessLevel"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}, {""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""Workout type 'cool down' is not one of the specialized Hydrow categories (Breathe, Sweat, Drive, Distance). It is treated as suitable for all fitness levels.""}}"
8417,https://members.hydrow.com/workout_videos/id_PVx3WJAnKY2ZeoK,Upper Body Strength with Bands,,647,,Strength,Body weight,Cardio,Mat,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,"{""video_id"": 8417, ""video_url"": ""https://members.hydrow.com/workout_videos/id_PVx3WJAnKY2ZeoK"", ""video_title"": ""Upper Body Strength with Bands"", ""duration"": 647, ""category"": {""categories"": [{""name"": ""Mat"", ""score"": 0.7}, {""name"": ""Body weight"", ""score"": 0.8}, {""name"": ""Weight workout"", ""score"": 0.4}], ""categoriesConfidence"": 0.8, ""categoriesExplanation"": ""The workout 'Upper Body Strength with Bands' primarily falls under 'Body weight' due to the use of resistance bands, which is a typical method for bodyweight resistance training. This is supported by the reference to strength training in the workout description and the absence of any free weights or machines, implying a reliance on body weight and band resistance. The 'Mat' category is also relevant, indicated by the title 'On The Mat' and the implied use of a mat as the workout focuses on upper body strength exercises, likely performed on the floor. The 'Weight workout' category is included with a lower score due to the use of resistance bands simulating weights, but since no actual weights are used, it is less definitive. The confidence is high due to the explicit emphasis on resistance band exercises for strength training in the description.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}], ""techniqueDifficultyConfidence"": 1.0, ""techniqueDifficultyExplanation"": ""Since the workout is marked as suitable for all fitness levels (Beginner, Intermediate, Advanced), the technique difficulty is considered adaptable. Movements can be scaled in complexity, and users are expected to modify techniques based on their capability. Therefore, all difficulty levels from Beginner to Expert are assigned equal suitability with a score of 1.0."", ""effortDifficulty"": [{""level"": ""Light"", ""score"": 0.6}, {""level"": ""Moderate"", ""score"": 0.4}], ""effortDifficultyConfidence"": 0.7, ""effortDifficultyExplanation"": ""With a short duration of approximately 11 minutes, the workout is likely to not demand intense physical effort, aligning it with a Light to Moderate effort difficulty. It's focused on resistance band exercises, which typically do not require extreme energy expenditure compared to more intense strength training methods. The lack of high-intensity cues further supports a lower effort classification, though there is some exertion due to resistance involved."", ""requiredFitnessLevel"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}, {""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""Workout type 'strength' is not one of the specialized Hydrow categories (Breathe, Sweat, Drive, Distance). It is treated as suitable for all fitness levels.""}}"
8419,https://members.hydrow.com/workout_videos/id_n5oGLd9bZnQVAYa,Instructional: Drive Through Your Feet,,347,,Cardio,Indoor rowing,,,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,"{""video_id"": 8419, ""video_url"": ""https://members.hydrow.com/workout_videos/id_n5oGLd9bZnQVAYa"", ""video_title"": ""Instructional: Drive Through Your Feet"", ""duration"": 347, ""category"": {""categories"": [{""name"": ""Indoor rowing"", ""score"": 0.9}], ""categoriesConfidence"": 0.85, ""categoriesExplanation"": ""The workout is categorized primarily as Indoor Rowing. The title, \""Instructional: Drive Through Your Feet,\"" and the description focus on a 'legs-only drill,' which is specific to rowing where proper foot placement and form are crucial. The use of 'drive through your feet' is a common term in rowing to emphasize the leg drive phase. The mention of 'category: row' in the metadata further supports this classification. The presence of a specific instructor, Nick Karwoski, also hints at a specialized focus often seen in structured rowing workouts. The workout's warm-up type and duration (5:47 minutes) align with an instructional rowing drill session. Other categories like Stretching or Yoga are excluded since there are no elements of flexibility or mind-body practices mentioned. The confidence level is high (0.85), with the score for Indoor Rowing set at 0.9, as the indicators are strong and explicit throughout the metadata.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}], ""techniqueDifficultyConfidence"": 1.0, ""techniqueDifficultyExplanation"": ""Since the workout is marked as suitable for all fitness levels (Beginner, Intermediate, Advanced), the technique difficulty is considered adaptable. Movements can be scaled in complexity, and users are expected to modify techniques based on their capability. Therefore, all difficulty levels from Beginner to Expert are assigned equal suitability with a score of 1.0."", ""effortDifficulty"": [{""level"": ""Light"", ""score"": 0.9}], ""effortDifficultyConfidence"": 0.9, ""effortDifficultyExplanation"": ""The session is a short, 5-minute 47-second warm-up, implying low energy expenditure. The focus is on refining technique rather than intense exertion, aligning with 'Light' effort difficulty. The warm-up designation and duration strongly support a low, manageable physical demand, suitable for even less fit users."", ""requiredFitnessLevel"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}, {""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""Workout type 'warm-up' is not one of the specialized Hydrow categories (Breathe, Sweat, Drive, Distance). It is treated as suitable for all fitness levels.""}}"
7884,https://members.hydrow.com/workout_videos/id_Bw6Nk2W7o72M3yW,Whole Body Stretch,,951,,Flexibility,Stretching,,,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,"{""video_id"": 7884, ""video_url"": ""https://members.hydrow.com/workout_videos/id_Bw6Nk2W7o72M3yW"", ""video_title"": ""Whole Body Stretch"", ""duration"": 951, ""category"": {""categories"": [{""name"": ""Stretching"", ""score"": 0.9}, {""name"": ""Yoga"", ""score"": 0.3}], ""categoriesConfidence"": 0.9, ""categoriesExplanation"": ""The primary category 'Stretching' was chosen due to the explicit mention in both the workout name 'Whole Body Stretch' and the description indicating a focus on stretching various body parts like hips, hamstrings, back, and glutes. It is further confirmed by 'Workout Type: stretching' and the video being categorized under 'On the Mat', which aligns with stretching exercises. The description's emphasis on stretching specific muscles strongly contributes to a high confidence level of 0.9 for this category. \n\nThe 'Yoga' category was also considered with a lower score of 0.3 due to potential overlap, as yoga often includes stretching components. The peaceful setting in Norway and the potential of integrated mindful movement might hint at yoga-like aspects. However, the lack of explicit mention of yoga postures or practices keeps the score low. Other categories like 'Mat' or 'Pilates' were less fitting given the strong emphasis on stretching exercises without evidence for bodyweight exercises or core-focused Pilates.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}], ""techniqueDifficultyConfidence"": 1.0, ""techniqueDifficultyExplanation"": ""Since the workout is marked as suitable for all fitness levels (Beginner, Intermediate, Advanced), the technique difficulty is considered adaptable. Movements can be scaled in complexity, and users are expected to modify techniques based on their capability. Therefore, all difficulty levels from Beginner to Expert are assigned equal suitability with a score of 1.0."", ""effortDifficulty"": [{""level"": ""Light"", ""score"": 0.9}], ""effortDifficultyConfidence"": 0.9, ""effortDifficultyExplanation"": ""The workout duration is approximately 16 minutes and focuses solely on stretching, which is typically a low-intensity, low-energy activity. There is no indication of high-intensity intervals or demanding poses that would increase physical demand. This is corroborated by the category 'On The Mat', which suggests a relaxed, floor-based, gentle exercise format. The absence of any intensity cues or challenging descriptors further supports a Light effort classification, suitable for users with lower fitness levels."", ""requiredFitnessLevel"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}, {""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""Workout type 'stretching' is not one of the specialized Hydrow categories (Breathe, Sweat, Drive, Distance). It is treated as suitable for all fitness levels.""}}"
8238,https://members.hydrow.com/workout_videos/id_Wora82eZZkdLq9z,Technique Cool-Down,,344,,Cardio,Indoor rowing,,,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,"{""video_id"": 8238, ""video_url"": ""https://members.hydrow.com/workout_videos/id_Wora82eZZkdLq9z"", ""video_title"": ""Technique Cool-Down"", ""duration"": 344, ""category"": {""categories"": [{""name"": ""Indoor rowing"", ""score"": 0.9}, {""name"": ""Stretching"", ""score"": 0.3}], ""categoriesConfidence"": 0.85, ""categoriesExplanation"": ""The primary category for this workout is 'Indoor rowing', and this conclusion is based on multiple indicators within the metadata. The workout name 'Technique Cool-Down' along with the description 'Focus on your technique with Aquil' indicates a focus on rowing, possibly on a rowing machine, given the inclusion of 'row' in the category tags. The workout's intent on cooling down after intensive rowing sessions, combined with the mention of a maximum rhythm of 22 and steady format, strongly suggests it's part of an indoor rowing routine. This is supported by the 'cool down' label, implying a lower intensity session post main rowing workout.\n\nThe secondary category 'Stretching' is considered due to the 'Cool Down' aspect, which often includes stretching elements to aid in muscle recovery and prevent stiffness especially after rowing workouts, although the indicators for this category are not as strong as those for indoor rowing.\n\nThe confidence level is high (0.85) as the metadata provides clear indications of indoor rowing through the instructor's focus on rowing technique and cooling down mechanics.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}], ""techniqueDifficultyConfidence"": 1.0, ""techniqueDifficultyExplanation"": ""Since the workout is marked as suitable for all fitness levels (Beginner, Intermediate, Advanced), the technique difficulty is considered adaptable. Movements can be scaled in complexity, and users are expected to modify techniques based on their capability. Therefore, all difficulty levels from Beginner to Expert are assigned equal suitability with a score of 1.0."", ""effortDifficulty"": [{""level"": ""Light"", ""score"": 0.9}, {""level"": ""Moderate"", ""score"": 0.3}], ""effortDifficultyConfidence"": 0.85, ""effortDifficultyExplanation"": ""The workout duration is just over five minutes and is explicitly a 'cool down', indicating low intensity and energy expenditure. Its goal is to promote recovery, typical of 'Light' effort workouts. The 'Steady' format and low rhythm further support a minimal effort classification, though maintaining proper form could elevate it slightly toward 'Moderate'."", ""requiredFitnessLevel"": [{""level"": ""Beginner"", ""score"": 1.0}, {""level"": ""Intermediate"", ""score"": 1.0}, {""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""Workout type 'cool down' is not one of the specialized Hydrow categories (Breathe, Sweat, Drive, Distance). It is treated as suitable for all fitness levels.""}}"
8288,https://members.hydrow.com/workout_videos/id_DjzXwQaVYbJANxP,Rock HIIT Row,,1281,,Cardio,HIIT,Cardio,Indoor rowing,Advanced,,,,,,,,,,,,,,,,,,"{""video_id"": 8288, ""video_url"": ""https://members.hydrow.com/workout_videos/id_DjzXwQaVYbJANxP"", ""video_title"": ""Rock HIIT Row"", ""duration"": 1281, ""category"": {""categories"": [{""name"": ""HIIT"", ""score"": 1.0}, {""name"": ""Indoor rowing"", ""score"": 0.8}], ""categoriesConfidence"": 0.9, ""categoriesExplanation"": ""The primary category assigned is 'HIIT' with a high confidence score of 1.0. This is due to explicit references to 'high-intensity intervals' and an intensity level of 3 out of 3, which is characteristic of High-Intensity Interval Training. The title 'Rock HIIT Row' and the description both emphasize the high-intensity nature, reinforcing its classification as a HIIT workout. \n\nThe secondary category is 'Indoor rowing', scored at 0.8. Although not explicitly mentioned, the term 'Row' in the title strongly implies the use of a rowing machine, a typical piece of equipment for such workouts. The synonymous use of 'drive' and 'standard,row' in the category metadata further supports this inference.\n\nOther categories such as 'Mat', 'Weight workout', or 'Body weight' are excluded due to the lack of evidence or direct mentions of relevant exercises or equipment. The overall analysis is confident due to the clear and repeated indications of high-intensity training and rowing-related context.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Intermediate"", ""score"": 1.0}], ""techniqueDifficultyConfidence"": 1.0, ""techniqueDifficultyExplanation"": ""The workout is classified with a high confidence as Intermediate for technique difficulty, based on the metadata indicating it's a rowing-based HIIT session. Row-based workouts inherently fit Beginner or Intermediate levels. The drive format used suggests elevated complexity, however, within the rowing spectrum under the 'Hydrow' guideline this maxes out at Intermediate."", ""effortDifficulty"": [{""level"": ""Challenging"", ""score"": 0.8}, {""level"": ""Extreme"", ""score"": 0.6}], ""effortDifficultyConfidence"": 0.8, ""effortDifficultyExplanation"": ""The workout is rated Challenging to Extreme for effort difficulty based on the metadata: a 21-minute high-intensity interval training (HIIT) format with a max rhythm of 30. The effort intensity is further confirmed by the platform's highest intensity rating of 3/3 and the vigorous nature of HIIT workouts, implying significant exertion and energy expenditure consistent with high-effort levels."", ""requiredFitnessLevel"": [{""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""The workoutType is 'Drive', which is explicitly defined as a Advanced workout based on platform rules. No further inference needed.""}}"
8429,https://members.hydrow.com/workout_videos/id_b5aEGQ8Zka2LrpW,Racing Mindset Row,,1284,,Cardio,Indoor rowing,Cardio,HIIT,Advanced,,,,,,,,,,,,,,,,,,"{""video_id"": 8429, ""video_url"": ""https://members.hydrow.com/workout_videos/id_b5aEGQ8Zka2LrpW"", ""video_title"": ""Racing Mindset Row"", ""duration"": 1284, ""category"": {""categories"": [{""name"": ""Indoor rowing"", ""score"": 0.95}, {""name"": ""HIIT"", ""score"": 0.85}], ""categoriesConfidence"": 0.95, ""categoriesExplanation"": ""The workout titled 'Racing Mindset Row' and the description mentioning 'ignite your legs and lungs' strongly indicate an intense rowing session, aligning it closely with 'Indoor rowing.' The explicit mention of the format being 'HIIT' and an 'intensity level: 3 out of 3' suggests a high-intensity interval training setup. The 'drive' type and the context of 'bolt down the Charles River' metaphorically reinforce the high-energy and competitive elements typical of both indoor rowing and HIIT workouts. These indicators collectively support a high confidence rating for 'Indoor rowing' (score 0.95) due to its centrality in the metadata and 'HIIT' (score 0.85) due to the format and intensity level description. Other categories such as 'Treadmill' or 'Mat' are excluded due to the lack of relevant context in the metadata pointing to those activities.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Advanced"", ""score"": 0.8}], ""techniqueDifficultyConfidence"": 0.9, ""techniqueDifficultyExplanation"": ""The workout is categorized as a 'drive', which, according to Hydrow-specific rules, means the technique difficulty is categorized as 'Advanced'. This is because 'drive' workouts typically involve complex rowing techniques that require good coordination and body awareness. Furthermore, the 'Racing Mindset Row' implies a focus on speed and competitive pacing, potentially increasing the complexity of the workout."", ""effortDifficulty"": [{""level"": ""Extreme"", ""score"": 0.8}], ""effortDifficultyConfidence"": 0.85, ""effortDifficultyExplanation"": ""The effort difficulty is classified as 'Extreme' due to multiple factors. The workout is a HIIT format with a max rhythm of 32, suggesting high intensity and energy expenditure. The duration of over 21 minutes, coupled with the workout being marked as level 3 (maximum intensity), indicates that it is physically demanding. Moreover, the description 'Ignite your legs and lungs' signals significant physical exertion."", ""requiredFitnessLevel"": [{""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""The workoutType is 'Drive', which is explicitly defined as a Advanced workout based on platform rules. No further inference needed.""}}"
8423,https://members.hydrow.com/workout_videos/id_yLMPGQRP7q29Nnw,All in One Row,,1876,,Cardio,Indoor rowing,Cardio,HIIT,Intermediate,,,,,,,,,,,,,,,,,,"{""video_id"": 8423, ""video_url"": ""https://members.hydrow.com/workout_videos/id_yLMPGQRP7q29Nnw"", ""video_title"": ""All in One Row"", ""duration"": 1876, ""category"": {""categories"": [{""name"": ""Indoor rowing"", ""score"": 0.9}, {""name"": ""HIIT"", ""score"": 0.6}], ""categoriesConfidence"": 0.85, ""categoriesExplanation"": ""The workout is clearly identified as an Indoor rowing session based on the title \""All in One Row\"" and the tags in the description mentioning 'row'. This suggests the use of a rowing machine, which aligns with the 'Indoor rowing' category. The structured interval format, evidenced by mention of '5 minutes warming up, 20 minutes at a Sweat intensity, and 5 minutes cooling down' and a 'Format: Intervals', supports the classification of HIIT, as it reflects periods of varying intensity. The presence of terms like 'Sweat intensity' and a 'Workout intensity level: 2 out of 3' indicate a focus on cardiovascular exertion, aligning with a HIIT structure. However, since the primary activity is rowing, Indoor rowing receives a higher score. The categories 'Stretching', 'Breathing exercises', and others were excluded as the content explicitly focuses on intense rowing and interval training without indications of flexibility or meditation components. The confidence in these selections is high due to explicit metadata cues.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 0.7}, {""level"": ""Intermediate"", ""score"": 0.6}], ""techniqueDifficultyConfidence"": 0.8, ""techniqueDifficultyExplanation"": ""The Technique Difficulty is classified based on the metadata indicating a 'row' session, which prioritizes beginner to intermediate levels as specified by the Hydrow guidelines. The workout involves a 20-minute main session at 'sweat intensity,' but does not seem to involve highly complex movements, aligning it with coordinated, yet accessible, rowing techniques suitable for beginner to intermediate users."", ""effortDifficulty"": [{""level"": ""Moderate"", ""score"": 0.75}, {""level"": ""Challenging"", ""score"": 0.4}], ""effortDifficultyConfidence"": 0.7, ""effortDifficultyExplanation"": ""The Effort Difficulty is inferred primarily from the 31-minute duration with a central 'sweat' session lasting 20 minutes marked 'intensity level 2 out of 3.' This suggests moderately high energy expenditure for the duration, classifying it between Moderate and Challenging. The interval format can increase overall intensity slightly, but is still quite manageable."", ""requiredFitnessLevel"": [{""level"": ""Intermediate"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""The workoutType is 'Sweat', which is explicitly defined as a Intermediate workout based on platform rules. No further inference needed.""}}"
8420,https://members.hydrow.com/workout_videos/id_an7PbJZkwp2RevX,Time Under Tension Row,,674,,Cardio,Indoor rowing,Cardio,HIIT,Intermediate,,,,,,,,,,,,,,,,,,"{""video_id"": 8420, ""video_url"": ""https://members.hydrow.com/workout_videos/id_an7PbJZkwp2RevX"", ""video_title"": ""Time Under Tension Row"", ""duration"": 674, ""category"": {""categories"": [{""name"": ""Indoor rowing"", ""score"": 0.9}, {""name"": ""HIIT"", ""score"": 0.75}], ""categoriesConfidence"": 0.85, ""categoriesExplanation"": ""The workout 'Time Under Tension Row' is classified primarily as an 'Indoor rowing' workout with a high confidence score of 0.9. This classification is based on direct evidence from the name and description indicating rowing activities ('intervals along the Charles River'), suggesting the use of a rowing machine or ergometer. The use of terms like 'row' and 'interval' further supports this category.\n\nThe workout also fits the 'HIIT' category with a score of 0.75, as indicated by the interval format mentioned in the description. While the intensity level is marked as 2 out of 3, suggesting moderate to high intensity, the focus on intervals aligns with HIIT principles, combining efforts over shorter durations to build endurance.\n\nOther categories such as 'Stretching', 'Yoga', or 'Meditation' are excluded due to the clear focus on cardio and rowing intervals, which do not align with their primary objectives. The music playlist suggests a high-energy atmosphere, further supporting the indoor rowing and HIIT categorization.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Beginner"", ""score"": 0.6}, {""level"": ""Intermediate"", ""score"": 0.4}], ""techniqueDifficultyConfidence"": 0.8, ""techniqueDifficultyExplanation"": ""The workout type is 'row', which defaults the Technique Difficulty to be either Beginner or Intermediate based on platform guidelines. The provided User Fitness Level Requirement aligns with 'Intermediate', suggesting that while basic, this workout might incorporate some slightly more complex rowing intervals that require coordination. This is indicated by the 'sweat' category and the rhythm intensity of 28, potentially challenging for a complete beginner but not overly complex."", ""effortDifficulty"": [{""level"": ""Moderate"", ""score"": 0.7}, {""level"": ""Challenging"", ""score"": 0.3}], ""effortDifficultyConfidence"": 0.7, ""effortDifficultyExplanation"": ""The description, 'Build cardio and endurance with ... interval,' suggests moderate energy demand, aligning with the effort category of the workout (Sweat). The duration of 11 minutes 14 seconds implies a higher level of intensity, particularly for a less fit audience, which increases the effort difficulty slightly. The intensity level is marked as 2 out of 3, strengthening the inference of moderate effort with potential challenging intervals."", ""requiredFitnessLevel"": [{""level"": ""Intermediate"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""The workoutType is 'Sweat', which is explicitly defined as a Intermediate workout based on platform rules. No further inference needed.""}}"
8366,https://members.hydrow.com/workout_videos/id_BEWzndrZyPdaK7R,January Race: Week 2 of 4,,678,,Cardio,Indoor rowing,Cardio,HIIT,Advanced,,,,,,,,,,,,,,,,,,"{""video_id"": 8366, ""video_url"": ""https://members.hydrow.com/workout_videos/id_BEWzndrZyPdaK7R"", ""video_title"": ""January Race: Week 2 of 4"", ""duration"": 678, ""category"": {""categories"": [{""name"": ""Indoor rowing"", ""score"": 0.9}, {""name"": ""HIIT"", ""score"": 0.65}], ""categoriesConfidence"": 0.85, ""categoriesExplanation"": ""The workout is clearly classified as 'Indoor rowing' due to the metadata indicating terms like 'race,' 'drive,' and 'accumulate maximum meters,' which are directly associated with rowing workouts. The indicator 'Max rhythm: 34' signifies strokes per minute, common in rowing. Thus, a high confidence score of 0.9 is assigned to Indoor rowing. Additionally, the workout intensity level of '3 out of 3' combined with phrases like 'race off at high rhythms' suggests a high-intensity component, which aligns with the principles of High-Intensity Interval Training (HIIT). This justifies assigning a moderate score of 0.65 to the HIIT category. Other categories like 'Mat' or 'Treadmill' are excluded due to the lack of related metadata. The absence of specifics about the elliptical, bike, or yoga rules out those possibilities as well. Overall, the evidence strongly supports Indoor rowing, with a potential overlap into HIIT.""}, ""fitness_level"": {""techniqueDifficulty"": [{""level"": ""Intermediate"", ""score"": 0.8}], ""techniqueDifficultyConfidence"": 0.9, ""techniqueDifficultyExplanation"": ""The workout type is 'drive', which as per Hydrow-specific rules, typically involves more complex rowing techniques that go beyond beginner-friendly movements due to the higher requirement of rhythm and power. Combined with the 'row' category and the objective of accumulating maximum meters, it positions this session as Intermediate in technique, despite its seemingly straightforward rowing format."", ""effortDifficulty"": [{""level"": ""Challenging"", ""score"": 0.75}, {""level"": ""Extreme"", ""score"": 0.6}], ""effortDifficultyConfidence"": 0.85, ""effortDifficultyExplanation"": ""The effort difficulty is driven by the 'drive' format with an intensity level of 3 out of 3, indicating a highly demanding session. The workout's short duration of 11 minutes and 18 seconds coupled with a high rhythm (34) suggests high-intensity intervals near maximum output, which is consistent with challenging effort. The focus on power and maximum meters adds to the demanding nature, placing it between challenging and extreme."", ""requiredFitnessLevel"": [{""level"": ""Advanced"", ""score"": 1.0}], ""requiredFitnessLevelConfidence"": 1.0, ""requiredFitnessLevelExplanation"": ""The workoutType is 'Drive', which is explicitly defined as a Advanced workout based on platform rules. No further inference needed.""}}"
