UID,Link to Workout Media,Duration,Source,Category,SubCategory,Name,Equipment Needed,Trainer,Fitness Level
41b8e1e9-4a8c-4a4c-a426-35c041a9d8b6,https://www.youtube.com/watch?v=BfP_ub8MHbc,5,YouTube,Flexibility,Yoga,5 Minute Full Body Yoga | QUICK & EASY,mat,Black Yogi Nico Marie,beginner
8bfcb76e-16f4-414b-8bec-dbe17e8a0539,https://www.youtube.com/watch?v=Qtg7v1QG0PM,5,YouTube,Flexibility,Yoga,5 Minute Morning Yoga to Energize and Remove Sleepiness,mat,Breathe and Flow,beginner
4715fe19-2951-4285-aa6f-aa7ad39d20f0,https://www.youtube.com/watch?v=2XfT8iWx394,20,YouTube,Flexibility,Yoga,20 Minute Yoga For Beginners And Athletes,mat,Breathe and Flow,beginner
12ed6b38-8701-4c09-a638-d5d00d54e4bd,https://www.youtube.com/watch?v=HzfHKN6rmpk,45,YouTube,Cardio,HIIT,45 MINUTE FAT MELTING HIIT CARDIO WORKOUT(1000 CALORIES),mat,Bully Juice,"intermediate, advanced"
d2d400ee-6ce8-49d4-9f19-3e604ad61890,https://www.youtube.com/watch?v=SEm3RtZF9SQ,20,YouTube,Strength,Body weight,"20-Minute ""Full Body"" Home Workout (Beginner to Expert!)","mat, chair",Calishtenicmoves,"beginner, intermediate, advanced"
f896f107-5bad-46cb-9c4c-0af79250fa02,https://www.youtube.com/watch?v=yq0QvBaDBKk,8,YouTube,Strength,Body weight,20 Best Intermediate Calisthenics Exercises | + Workout Plan,mat,Calisthenics Family,intermediate
a30dbfe6-00ad-4124-afca-8aab0ecda9bf,https://www.youtube.com/watch?v=BdTzZuwGEOw,20,YouTube,Flexibility,Yoga,20 Min Yoga Flow for Beginners,mat,Candace Cabrera,beginner
46cfb334-3e8d-400e-9d29-e0421bb91005,https://www.youtube.com/watch?v=l9_SoClAO5g,20,YouTube,Strength,Weight workout,20 Minute Dumbbell Full Body Workout - No Repeat,"mat, dumbbells",Caroline Girvan,"beginner, intermediate, advanced"
5c7e9c1c-92a1-42a7-92fa-0fa7469a847c,https://www.youtube.com/watch?v=0tN8gx1_7sI,20,YouTube,Strength,Body weight,20 Minute Bodyweight Leg Workout | Calisthenics Giant Sets,"mat, chair, blocks",Caroline Girvan,"intermediate, advanced"
898fab0c-7967-4a36-b303-7672e23cba59,https://www.youtube.com/watch?v=3gq9HMtLGM0,20,YouTube,Flexibility,Yoga,20 Minute Everyday Yoga Flow | Daily Routine To Feel Your Best,mat,Charlie Follows,beginner
2a367f90-7155-439d-9d58-6965e6c94723,https://www.youtube.com/watch?v=5vX2RxKsVJM,45,YouTube,Cardio,HIIT,"45 Min Full Body Cardio HIIT | ALL STANDING | Burn up to 600 Calories, No Repeat, No Equipment",mat,Eleni Fit,advanced
4f5cfbad-45bb-4550-bbd1-e0509f5c54c8,https://www.youtube.com/watch?v=rlE47eJ3524,20,YouTube,Flexibility,Yoga,20-Minute Beginner Yoga Routine | Gentle Flow With Blocks,mat,Evolv Yoga,beginner
c60ac636-d384-497c-820f-63f960b8f4ad,https://www.youtube.com/watch?v=Ti619v18nHw,20,YouTube,Flexibility,Stretching,"20 min TOTAL BODY STRETCH ROUTINE | Muscle Recovery, Flexibility and Relaxation",mat,Fitbymik,"beginner, intermediate, advanced"
37aef56f-7e55-4346-8ee6-872129251c47,https://www.youtube.com/watch?v=Y26VWM9MfL8,20,YouTube,Strength,Weight workout,20 min FULL BODY DUMBBELL WORKOUT | Sculpt and Strengthen | With Warm Up + Cool Down,"mat, dumbbells",Fitbymik,"beginner, intermediate, advanced"
09b820e4-74e7-43aa-9ac6-2b5482c2cebe,https://www.youtube.com/watch?v=xoUHMebjFSs,20,YouTube,Strength,Weight workout,20 MINUTE FULL BODY WORKOUT (DUMBBELLS ONLY),"mat, dumbbells",Fraser Wilson,"beginner, intermediate, advanced"
550bb6cb-f233-49af-b78e-e100f334f7af,https://www.youtube.com/watch?v=oi5o3AXfFv4,45,YouTube,Cardio,HIIT,"45 MIN MILITARY MONDAY Killer HIIT Workout - Full Body, No Equipment, No",none,GrowingAnanas,advanced
31262e1f-9dcf-450e-9b83-c300580a78e5,https://www.youtube.com/watch?v=hLVh5IBsCxk,20,YouTube,Cardio,HIIT,20 MIN KILLER HIIT Full Body Workout - No Equipment - No Repeat Cardio HIIT Home Workout,mat,GrowingAnanas,"beginner, intermediate, advanced"
22d2a0df-86d6-4df1-9c69-dbfcc32aa26a,https://www.youtube.com/watch?v=lZxxH-xNBto,20,YouTube,Flexibility,Yoga,20 Minute Everyday Vinyasa Yoga Flow,mat,Jess Yoga,beginner
9e9fd7de-25fc-4e1b-b2ff-4af5707906a9,https://www.youtube.com/watch?v=M0uO8X3_tEA,20,YouTube,Cardio,HIIT,20 Minute Full Body Cardio HIIT Workout [NO REPEAT],mat,Juice and Toya,"beginner, intermediate, advanced"
5dcbbecd-9f13-464e-b3b7-2ec7b0ba064b,https://www.youtube.com/watch?v=fdCVAsuEFMU,20,YouTube,Strength,Weight workout,20 Minute Full Body Dumbbell Workout [Strength X Iso],"mat, dumbbells",Juice and Toya,"beginner, intermediate, advanced"
0cd0e503-a1af-43bc-8316-abdb100d84e0,https://www.youtube.com/watch?v=Q2cMMnUuKYQ,20,YouTube,Strength,Body weight,20 Minute Full Body Strength Workout (No Equipment/No Repeat),mat,Juice and Toya,"beginner, intermediate, advanced"
6d776bee-4560-4384-a5fb-c6072a20f002,https://www.youtube.com/watch?v=XwRcPXtULVg,20,YouTube,Strength,Weight workout,Full Body Workout with Dumbbells | NO REPEAT,"mat, dumbbells",Kaleigh Cohen Strength,"beginner, intermediate, advanced"
ddacc82c-28a0-4ed0-bcd9-59d21b7dd488,https://www.youtube.com/watch?v=R5MXpyO8rXc,20,YouTube,Strength,Weight workout,20 minute Full Body NO REPEAT Workout | Tone and Define with Dumbbells,"mat, dumbbells",Kaleigh Cohen Strength,"beginner, intermediate, advanced"
b58eb48a-f456-4d82-935c-34569305ca1d,https://www.youtube.com/watch?v=py63tS3-ECA,20,YouTube,Flexibility,Stretching,Daily Stretch Routine ☀️ 20 min relaxing full body stretches,mat,Lavendaire,"beginner, intermediate, advanced"
b1423e50-efb4-4725-aaa9-d65674ba7107,https://www.livestrong.com/article/13725774-a-20-minute-at-home-stretching-workout/,20,LiveStrong,Flexibility,Stretching,A 20-Minute At-Home Stretching Workout to Reinvigorate Tired and Stiff Muscles,mat,Livestrong,"beginner, intermediate, advanced"
c7ae0055-bd56-442e-a840-82f8ea5036bb,https://www.youtube.com/watch?v=TOXmdZ35CH0,20,YouTube,Strength,Weight workout,"Beginner At Home Calisthenics Workout - No Equipment, 20 Minutes, Full Body",mat,Lucy Lismore,"beginner, intermediate, advanced"
0ccc445a-e930-4145-9415-9f4f5b05a145,https://www.youtube.com/watch?v=DYGfwPppgO4,20,YouTube,Flexibility,Stretching,20 MIN FULL BODY STRETCH - for Stress Relief & Flexibility (Minimal Talking),mat,MadFit,"beginner, intermediate, advanced"
850be77f-ac43-4f09-a0c3-75b18ea89513,https://www.youtube.com/watch?v=YYgYRSkFoJs,20,YouTube,Strength,Weight workout,20 MIN FULL BODY TONING & STRENGTH (Total Body Workout At Home),"mat, dumbbells",MadFit,"beginner, intermediate, advanced"
7e140631-7a92-4890-b95b-60674f729a6d,https://www.youtube.com/watch?v=sAf67xFS-qE,5,YouTube,Flexibility,Yoga,5 Min. Morning Stretch | Full Body Flexibility Routine for Beginner,mat,Mady Morrison,beginner
5a939e67-c183-42c5-b8cd-eb4aed363157,https://www.youtube.com/watch?v=poZBpvLTHNw,20,YouTube,Flexibility,Yoga,"Breathe, stretch and feel good with this Feel Good Yoga Flow",mat,Move with Nicole,beginner
1b7d0cac-12da-49e6-ae65-119ce2753671,https://www.youtube.com/watch?v=LjimjIeMpz0,20,YouTube,Strength,Weight workout,20 min Full Body Dumbbell Workout | Build Muscle & Strength | Burn Fat 🔥,"mat, dumbbells",Mr and Mrs Muscle,"beginner, intermediate, advanced"
4a56c683-3d7a-4891-860f-bacb75996644,https://open.spotify.com/playlist/0VSg3Ize1XJArEzV6fCVW5?si=bF4PrTcoR4CWlwP5TISYnQ,20,Spotify,Cardio,Running,Running Playlist 2024 120-150 BPM,none,n/a,"beginner, intermediate, advanced"
b959d8dc-73d0-47ea-9eb2-6ac9a24a03b9,https://open.spotify.com/playlist/7IGm14yN1Nf42SuPB35CDw?si=rOYh9d-BTWW3F9r63Wmv3w&nd=1&dlsi=620177968b124ce0,20,Spotify,Cardio,Running,"Running Playlists - Haibands, Rock and Metal Running Playlist for Speed",none,n/a,"beginner, intermediate, advanced"
9838ba1f-4a12-4730-9094-cd849091a5a2,https://www.nike.com/nrc-app,20,Nike,Cardio,Running,Nike Running Club,none,n/a,"beginner, intermediate, advanced"
57f3df19-8460-490d-bef4-89537d6e9c5d,https://open.spotify.com/playlist/7IuROpNVSa93ridnFVNanY?si=Gdq3ic-fT8m49LbEBHWuuw&nd=1&dlsi=6d73abdb26544b8d,20,Spotify,Cardio,Running,Running Playlist-GirlPower Edition,none,n/a,"beginner, intermediate, advanced"
504031fb-4754-4ee5-876a-2d3cee020941,https://www.youtube.com/watch?v=FeR-4_Opt-g,20,YouTube,Cardio,HIIT,"20 MIN CARDIO HIIT WORKOUT - ALL STANDING - Full Body, No Equipment, No Repeats",mat,NoBadAddiction,"beginner, intermediate, advanced"
34707f52-6627-4fa5-ab2a-44bb44488406,https://www.youtube.com/watch?v=RcLz_atcq8w,20,YouTube,Cardio,HIIT,"BURN 500 CALORIES with this 20 Minute Cardio HIIT Workout (No Equipment, No Repeats)",mat,NoBadAddiction,"beginner, intermediate, advanced"
5c8d647f-3a40-444d-88c8-496610cba62a,https://www.youtube.com/watch?v=yVUcHEOr450,20,YouTube,Cardio,HIIT,"Burn 1000 Calories with this 45 MIN CARDIO HIIT Workout (Full Body, No Equipment, No Repeats)",none,NoBadAddiction,advanced
f39ca6d1-a335-46fa-a962-a85ddfd3d96b,https://www.youtube.com/watch?v=adDGcsdu8WY,20,YouTube,Cardio,HIIT,"20 MIN CALORIE KILLER HIIT WORKOUT - Full body Cardio, No Equipment, No Repeat",mat,Oliver Sjostrom,advanced
